iter	Logloss
0	0.6399115841
1	0.598583091
2	0.5668201854
3	0.5408202655
4	0.5212346653
5	0.5041492499
6	0.4923430806
7	0.4781288437
8	0.4678695006
9	0.4597402195
10	0.4525377653
11	0.4446811944
12	0.4408925191
13	0.4368702786
14	0.4346807942
15	0.4308493813
16	0.4265921044
17	0.4238486133
18	0.4226125618
19	0.4204004147
20	0.4177759601
21	0.4154630548
22	0.4140706235
23	0.4105821398
24	0.405953553
25	0.4033202724
26	0.4023621635
27	0.4005339873
28	0.3991050581
29	0.397705528
30	0.3970612009
31	0.396637851
32	0.3951002683
33	0.3941175263
34	0.3933124867
35	0.3929939106
36	0.3923678831
37	0.3911138099
38	0.3903825742
39	0.3900166675
40	0.3892382348
41	0.3885131326
42	0.3863824198
43	0.3850397235
44	0.384521305
45	0.3839300772
46	0.383301636
47	0.3827000791
48	0.381900605
49	0.3814292861
50	0.3802521347
51	0.3796221236
52	0.3784542695
53	0.3776017353
54	0.3768010369
55	0.3746706474
56	0.3744438662
57	0.3736079095
58	0.3730400859
59	0.3714798134
60	0.3706442707
61	0.3701104258
62	0.3696544489
63	0.3692453233
64	0.3683099496
65	0.3676829123
66	0.3666898757
67	0.3656229033
68	0.3648032587
69	0.3646898527
70	0.3639410988
71	0.3627414572
72	0.3620450828
73	0.3618976558
74	0.3609352688
75	0.3596530013
76	0.3588686394
77	0.3584905028
78	0.3574324361
79	0.3568725994
80	0.3565161398
81	0.3551627364
82	0.354770396
83	0.3544793804
84	0.3539628985
85	0.353616736
86	0.3527326699
87	0.3521771904
88	0.3510718743
89	0.3506145809
90	0.3500346697
91	0.3495305563
92	0.3494424097
93	0.3490091555
94	0.3483133571
95	0.3477814693
96	0.347149295
97	0.3462164504
98	0.3453317128
99	0.3447382474
